gender,dept,gt,it,wk,l1,category_zh,n_total,n_designs,n_clients,confidence,top_client,top_client_pct,top3_clients,top_iso,top_iso_pct,top_method_en,top_method_pct,ie_avg_sec,iso_count,method_count,top_machine,top_skill,top_section
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,PS,褲合身,1957,357,13,high,OLD NAVY,46.6,OLD NAVY(46.6%) / GAP(12.6%) / DICKS SPORTING GOODS(11.5%),514,49.3,4-thread Overlock,32.2,0.053,9,13,手工-含做記號、翻修等工段,B,修頭尾縫份(兩邊)
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,WB,腰頭,1645,357,13,high,OLD NAVY,47.2,OLD NAVY(47.2%) / DICKS SPORTING GOODS(11.6%) / GAP(10.6%),301,43.0,Lockstitch,25.8,0.067,9,13,手工-含做記號、翻修等工段,B,做上腰頭記號
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,PS,褲合身,1542,197,7,high,TARGET,54.2,TARGET(54.2%) / DICKS SPORTING GOODS(24.2%) / ATHLETA(9.6%),514,41.9,4-thread Overlock,29.7,0.036,7,12,手工-含做記號、翻修等工段,B,合內長
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,PK,口袋,1203,251,13,high,OLD NAVY,46.4,OLD NAVY(46.4%) / GAP(18.6%) / ATHLETA(13.0%),301,47.8,Lockstitch,22.4,0.052,7,12,平車-細針距,B,打結(四個)
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,966,357,13,high,OLD NAVY,49.4,OLD NAVY(49.4%) / GAP(14.7%) / DICKS SPORTING GOODS(10.9%),301,100.0,Marking,46.3,0.026,1,5,手工-含做記號、翻修等工段,E,做記號
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,835,197,7,high,TARGET,50.5,TARGET(50.5%) / DICKS SPORTING GOODS(26.0%) / ATHLETA(9.3%),301,57.4,Lockstitch,33.2,0.075,10,13,手工-含做記號、翻修等工段,E,做鬆緊帶記號
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,LO,褲口,809,357,13,high,OLD NAVY,43.0,OLD NAVY(43.0%) / GAP(15.3%) / ATHLETA(12.5%),514,36.9,Marking,23.2,0.068,9,13,手工-含做記號、翻修等工段,E,修褲口
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,PK,口袋,769,138,7,high,TARGET,41.6,TARGET(41.6%) / ATHLETA(24.0%) / BEYOND YOGA(15.1%),301,61.7,Lockstitch,31.7,0.072,8,13,平車-細針距,B,打結(四個)
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,PK,口袋,640,64,5,high,UNDER ARMOUR,40.5,UNDER ARMOUR(40.5%) / DICKS SPORTING GOODS(35.3%) / TARGET(14.7%),301,59.8,Lockstitch,32.7,0.056,8,13,平車-細針距,B,固定袋布
MEN,ACTIVE,BOTTOM,PANTS,KNIT,PK,口袋,633,78,7,high,OLD NAVY,29.7,OLD NAVY(29.7%) / KOHLS(28.5%) / UNDER ARMOUR(18.1%),301,53.9,Lockstitch,30.0,0.052,7,12,平車-細針距,B,固定袋布
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,PS,褲合身,612,65,6,high,UNDER ARMOUR,41.6,UNDER ARMOUR(41.6%) / DICKS SPORTING GOODS(35.6%) / TARGET(13.6%),514,42.0,4-thread Overlock,31.1,0.039,7,12,手工-含做記號、翻修等工段,B,合外長
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,599,197,7,high,TARGET,55.1,TARGET(55.1%) / DICKS SPORTING GOODS(20.5%) / ATHLETA(13.0%),301,100.0,Marking,44.4,0.026,1,5,手工-含做記號、翻修等工段,E,做記號
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,LO,褲口,597,197,7,high,TARGET,63.2,TARGET(63.2%) / DICKS SPORTING GOODS(21.4%) / ATHLETA(6.6%),301,43.1,Lockstitch,25.4,0.116,9,14,平車-細針距,B,修褲口
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,PS,褲合身,594,78,3,high,TARGET,90.5,TARGET(90.5%) / DICKS SPORTING GOODS(5.0%) / A & F(4.5%),514,43.0,4-thread Overlock,30.5,0.032,7,12,手工-含做記號、翻修等工段,B,合內長
MEN,ACTIVE,BOTTOM,PANTS,KNIT,PS,褲合身,530,86,8,high,OLD NAVY,35.3,OLD NAVY(35.3%) / KOHLS(22.2%) / GAP(13.2%),514,78.1,4-thread Overlock,61.8,0.037,7,12,四線拷克,B,合內長
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,OT,其它,408,220,11,high,OLD NAVY,52.1,OLD NAVY(52.1%) / ATHLETA(15.6%) / DICKS SPORTING GOODS(14.7%),301,74.4,Marking,42.0,0.002,10,16,手工-含做記號、翻修等工段,E,其它
WOMEN,RTW,BOTTOM,PANTS,WOVEN,PK,口袋,393,42,9,high,GU,67.2,GU(67.2%) / KOHLS(6.8%) / WAL-MART-CA(6.3%),301,45.8,Pressing,25.0,0.059,5,10,平車-細針距,B,打結(四個)
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,LI,裡布,353,153,6,high,TARGET,69.4,TARGET(69.4%) / DICKS SPORTING GOODS(25.3%) / BEYOND YOGA(1.9%),301,70.3,Marking,52.9,0.05,5,7,手工-含做記號、翻修等工段,E,做記號
WOMEN,RTW,BOTTOM,PANTS,WOVEN,PS,褲合身,342,47,10,high,GU,40.1,GU(40.1%) / KOHLS(20.8%) / WAL-MART-CA(13.5%),516,42.6,5-thread Overlock,35.4,0.04,7,12,五線拷克,B,合外長
MEN,ACTIVE,BOTTOM,PANTS,KNIT,WB,腰頭,307,86,8,high,KOHLS,35.3,KOHLS(35.3%) / OLD NAVY(25.1%) / GAP(15.5%),301,50.6,Lockstitch,30.5,0.073,6,9,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,PS,褲合身,302,62,7,high,A & F,30.3,A & F(30.3%) / ATHLETA(23.4%) / OLD NAVY(20.1%),514,73.2,4-thread Overlock,55.6,0.043,6,9,四線拷克,B,合外長
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,284,78,3,high,TARGET,89.8,TARGET(89.8%) / DICKS SPORTING GOODS(5.8%) / A & F(4.4%),301,55.3,Lockstitch,31.5,0.062,6,8,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,LO,褲口,258,78,3,high,TARGET,93.5,TARGET(93.5%) / DICKS SPORTING GOODS(3.5%) / A & F(3.1%),514,42.6,4-thread Overlock,29.4,0.098,7,12,平車-細針距,B,壓褲口
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,247,65,6,high,UNDER ARMOUR,45.4,UNDER ARMOUR(45.4%) / DICKS SPORTING GOODS(34.1%) / TARGET(9.6%),301,58.4,Lockstitch,34.2,0.08,8,12,手工-含做記號、翻修等工段,E,做鬆緊帶記號
BOY,RTW,BOTTOM,PANTS,WOVEN,PS,褲合身,232,35,6,high,GAP,77.2,GAP(77.2%) / ZARA(6.9%) / TARGET(5.2%),514,44.1,4-thread Overlock,33.8,0.027,5,9,五線拷克,B,合內長
MEN,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,226,86,8,high,OLD NAVY,28.8,OLD NAVY(28.8%) / KOHLS(22.6%) / UNDER ARMOUR(18.6%),301,100.0,Marking,45.6,0.028,1,6,手工-含做記號、翻修等工段,E,做記號
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,225,65,6,high,UNDER ARMOUR,48.0,UNDER ARMOUR(48.0%) / DICKS SPORTING GOODS(32.9%) / TARGET(9.3%),301,100.0,Marking,45.1,0.028,1,5,手工-含做記號、翻修等工段,E,做記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,224,78,3,high,TARGET,90.6,TARGET(90.6%) / A & F(5.4%) / DICKS SPORTING GOODS(4.0%),301,100.0,Marking,40.7,0.027,1,4,手工-含做記號、翻修等工段,E,做記號
MEN,RTW,BOTTOM,PANTS,WOVEN,PS,褲合身,224,28,7,high,GU,45.3,GU(45.3%) / WAL-MART-CA(23.3%) / ZARA(13.1%),516,36.6,4-thread Overlock,27.7,0.04,7,11,五線拷克,B,合內長
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,WB,腰頭,221,62,7,high,ATHLETA,28.6,ATHLETA(28.6%) / A & F(25.2%) / OLD NAVY(19.2%),301,42.1,Marking,26.7,0.066,8,11,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,PK,口袋,220,46,2,low,TARGET,99.1,TARGET(99.1%) / DICKS SPORTING GOODS(0.9%),301,52.3,Lockstitch,24.3,0.058,6,11,平車-細針距,B,打結(四個)
